,YEAR,INDICATOR,INDICATOR_LABEL,PRODUCT,PRODUCT_LABEL,VALUE,FLAG,FLAG_LABEL,UNIT,UNIT_LABEL
0,2000,105,Area sown,143.0,Cottonseed,338770,,,102,Ha
1,2000,105,Area sown,1540.0,Yams,2124450,,,102,Ha
2,2000,105,Area sown,1520.0,Cassava,2446060,,,102,Ha
3,2000,105,Area sown,112.0,Maize (corn),3317800,,,102,Ha
4,2000,105,Area sown,114.0,Sorghum,4380520,,,102,Ha
5,2000,105,Area sown,118.0,Millet,3677670,,,102,Ha
6,2000,105,Area sown,1701.0,"Beans, dry",2386908,,,102,Ha
7,2000,105,Area sown,142.0,"Groundnuts, excluding shelled",1746462,,,102,Ha
8,2000,105,Area sown,1449.01,Melonseed,376420,,,102,Ha
9,2000,105,Area sown,113.0,Rice,1633202,,,102,Ha
10,2000,105,Area sown,1550.0,Taro,243710,,,102,Ha
