,YEAR,INDICATOR,INDICATOR_LABEL,PRODUCT,PRODUCT_LABEL,VALUE,FLAG,FLAG_LABEL,UNIT,UNIT_LABEL
0,2012,105,Area sown,1253.01,"Onions and shallots, green",386300,,,102,Ha
1,2012,105,Area sown,1239.01,Okra (Gombo),1060200,,,102,Ha
2,2012,105,Area sown,1444.0,Sesame seed,499100,,,102,Ha
3,2012,105,Area sown,1234.0,Tomatoes,469000,,,102,Ha
4,2012,105,Area sown,1657.0,"Ginger, raw",9400,,,102,Ha
5,2012,105,Area sown,113.0,Rice,2863815,,,102,Ha
6,2012,105,Area sown,141.0,Soya beans,668300,,,102,Ha
7,2012,105,Area sown,1550.0,Taro,622800,,,102,Ha
8,2012,105,Area sown,143.0,Cottonseed,323440,,,102,Ha
9,2012,105,Area sown,1540.0,Yams,4487946,,,102,Ha
10,2012,105,Area sown,1520.0,Cassava,6401996,,,102,Ha
11,2012,105,Area sown,112.0,Maize (corn),5751300,,,102,Ha
12,2012,105,Area sown,114.0,Sorghum,5099975,,,102,Ha
13,2012,105,Area sown,118.0,Millet,1328200,,,102,Ha
14,2012,105,Area sown,1701.0,"Beans, dry",3481000,,,102,Ha
15,2012,105,Area sown,142.0,"Groundnuts, excluding shelled",2659800,,,102,Ha
